Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Maher N., McGregor S., England M.H., Gupta A.S.","56324505100;8266754800;7101869647;8874929700;","Effects of volcanism on tropical variability",2015,"Geophysical Research Letters","42","14",,"6024","6033",,133,"10.1002/2015GL064751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939000990&doi=10.1002%2f2015GL064751&partnerID=40&md5=96c430dc123b0bd2dc0a58822ff5b24e","The effects of large tropical volcanic eruptions on Indo-Pacific tropical variability are investigated using 122 historical ensemble members from the Coupled Model Intercomparison Project 5. Radiative forcing due to volcanic aerosols in the stratosphere is found to increase the likelihood of a model climatic response that projects onto both the El Niño-Southern Oscillation and the Indian Ocean Dipole (IOD). Large eruptions are associated with co-occurring El Niño and positive IOD events in the ensemble means that peak 6-12 months after the volcanic forcing peaks, marking a significant increase in the likelihood of each event occurring in the Southern Hemisphere (SH) spring/summer posteruption. There is also an ensemble mean La Niña-like response in the third SH summer posteruption, which coincides with a significant increase in the likelihood of a La Niña occurring. Taken together with the initial cooling, this La Niña-like response may increase the persistence of the cool global average surface temperature anomaly after an eruption. © 2015. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84939000990
"Choudhury D., Sharma A., Sivakumar B., Gupta A.S., Mehrotra R.","57188852300;57190818469;56277793100;8874929700;57203234869;","On the predictability of SSTA indices from CMIP5 decadal experiments",2015,"Environmental Research Letters","10","7","074013","","",,8,"10.1088/1748-9326/10/7/074013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971602345&doi=10.1088%2f1748-9326%2f10%2f7%2f074013&partnerID=40&md5=56a1338f82cd2c608e365e654b19a667","Sea surface temperature anomaly climate indices in the tropical Pacific and Indian Oceans are statistically significant predictors of seasonal rainfall in the Indo-Pacific region. Onthis basis, this study evaluates the predictability of nine such indices, at interannual timescales, from the decadal hindcast experiments of four general circulation models. AMonte Carlo scheme is applied to define the periods of enhanced predictability for the indices. The effect of a recommended drift correction technique and the models' capabilities in simulating two specific El Niño and La Niña events are also examined. The results indicate that the improvement from drift correction is noticeable primarily in the full-field initialized models. Models show skillful predictability at timescales up to maximum a year for most indices, with indices in the tropical Pacific and the Western Indian Ocean having longer predictability horizons than other indices. The multi model ensemble mean shows the highest predictability for the Indian Ocean West Pole Index at 25 months. Models simulate the observed peaks during the El Niño and La Niña events in the Niño 3.4 index with limited success beyond timescales of a year, as expected from the predictability horizons. However, our study of a small number of events and models shows full-field initialized models outperforming anomaly initialized ones in simulating these events at annual timescales. © 2015 IOP Publishing Ltd.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-84971602345
"Hu D., Wu L., Cai W., Gupta A.S., Ganachaud A., Qiu B., Gordon A.L., Lin X., Chen Z., Hu S., Wang G., Wang Q., Sprintall J., Qu T., Kashino Y., Wang F., Kessler W.S.","7402585191;56202321100;7401711350;8874929700;6602387463;57203049371;7402141938;8646634700;55705716400;55475639700;55779464900;56097735000;6602699832;7007060727;6701850959;56471020600;7103241745;","Pacific western boundary currents and their roles in climate",2015,"Nature","522","7556",,"299","308",,408,"10.1038/nature14504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934998403&doi=10.1038%2fnature14504&partnerID=40&md5=6e1459d7a104cc5554d67f21238fa1c8","Pacific Ocean western boundary currents and the interlinked equatorial Pacific circulation system were among the first currents of these types to be explored by pioneering oceanographers. The widely accepted but poorly quantified importance of these currents - in processes such as the El Niño/Southern Oscillation, the Pacific Decadal Oscillation and the Indonesian Throughflow - has triggered renewed interest. Ongoing efforts are seeking to understand the heat and mass balances of the equatorial Pacific, and possible changes associated with greenhouse-gas-induced climate change. Only a concerted international effort will close the observational, theoretical and technical gaps currently limiting a robust answer to these elusive questions. © 2015 Macmillan Publishers Limited. All rights reserved.",Review,"Final","",Scopus,2-s2.0-84934998403
"Qin X., Sen Gupta A., Van Sebille E.","56044864700;8874929700;22636301500;","Variability in the origins and pathways of Pacific Equatorial Undercurrent water",2015,"Journal of Geophysical Research: Oceans","120","4",,"3113","3128",,19,"10.1002/2014JC010549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027956389&doi=10.1002%2f2014JC010549&partnerID=40&md5=380490595e911b42377fde8c4b5c7044","The Pacific Equatorial Undercurrent (EUC) transports water originating from a number of distinct source regions, eastward across the Pacific Ocean. It is responsible for supplying nutrients to the productive eastern Equatorial Pacific Ocean. Of particular importance is the transport of iron by the EUC; the limiting nutrient in that region. Although the mean circulation and sources of EUC water are reasonably well understood, it is unclear how the contribution of water from these sources to the EUC vary on seasonal to interannual timescales. Here a Lagrangian analysis is applied to the eddy-resolving OFAM3 ocean simulation in order to identity variability in the makeup of the EUC over an 18 year period (1993-2010). While ENSO has an influence on the variability of source transport contributions to the EUC, the signal of increased (decreased) transport of water from the LLWBCs during El Niño (La Niña) periods does not translate to substantial changes in the makeup of the EUC between 165°E and 140°W. It is hypothesized that this is due to the large spread in travel times of water parcels as they travel from the source regions into the EUC. The consequent erosion of transport anomalies generated at the different western boundary source regions associated with ENSO may help explain why previous studies found little relationship between variability in iron fluxes off Papua New Guinea shelves and the chlorophyll response in the eastern tropical Pacific. Key Points: A Lagrangian framework is used to backtrack EUC water sources Increased LLWBC water during El Niño is smeared out within the EUC Travel times and particle positions from individual sources exhibit large spread © 2015. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85027956389
"Evans K., Brown J.N., Sen Gupta A., Nicol S.J., Hoyle S., Matear R., Arrizabalaga H.","57213236079;24491649400;8874929700;7103154746;6701556226;57194438001;16174299000;","When 1+1 can be >2: Uncertainties compound when simulating climate, fisheries and marine ecosystems",2015,"Deep-Sea Research Part II: Topical Studies in Oceanography","113",,,"312","322",,17,"10.1016/j.dsr2.2014.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924328974&doi=10.1016%2fj.dsr2.2014.04.006&partnerID=40&md5=139fbb6a1f28a45950d3d396f5cf6f91","Multi-disciplinary approaches that combine oceanographic, biogeochemical, ecosystem, fisheries population and socio-economic models are vital tools for modelling whole ecosystems. Interpreting the outputs from such complex models requires an appreciation of the many different types of modelling frameworks being used and their associated limitations and uncertainties. Both users and developers of particular model components will often have little involvement or understanding of other components within such modelling frameworks. Failure to recognise limitations and uncertainties associated with components and how these uncertainties might propagate throughout modelling frameworks can potentially result in poor advice for resource management. Unfortunately, many of the current integrative frameworks do not propagate the uncertainties of their constituent parts. In this review, we outline the major components of a generic whole of ecosystem modelling framework incorporating the external pressures of climate and fishing. We discuss the limitations and uncertainties associated with each component of such a modelling system, along with key research gaps. Major uncertainties in modelling frameworks are broadly categorised into those associated with (i) deficient knowledge in the interactions of climate and ocean dynamics with marine organisms and ecosystems; (ii) lack of observations to assess and advance modelling efforts and (iii) an inability to predict with confidence natural ecosystem variability and longer term changes as a result of external drivers (e.g. greenhouse gases, fishing effort) and the consequences for marine ecosystems. As a result of these uncertainties and intrinsic differences in the structure and parameterisation of models, users are faced with considerable challenges associated with making appropriate choices on which models to use. We suggest research directions required to address these uncertainties, and caution against overconfident predictions. Understanding the full impact of uncertainty makes it clear that full comprehension and robust certainty about the systems themselves are not feasible. A key research direction is the development of management systems that are robust to this unavoidable uncertainty. © 2014 Elsevier Ltd.",Article,"Final","",Scopus,2-s2.0-84924328974
"Brown J.N., Langlais C., Sen Gupta A.","24491649400;55854254700;8874929700;","Projected sea surface temperature changes in the equatorial pacific relative to the warm pool edge",2015,"Deep-Sea Research Part II: Topical Studies in Oceanography","113",,,"47","58",,26,"10.1016/j.dsr2.2014.10.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924303183&doi=10.1016%2fj.dsr2.2014.10.022&partnerID=40&md5=440916dfa39cc4ef5b4cc50387e11ce9","Projections of equatorial sea surface temperature from CMIP5 climate models are important for understanding possible future changes in marine habitats, local rainfall and climate processes such as El Niño Southern Oscillation. Interpreting the projected changes in the tropical Pacific is complicated by the systematic cold tongue bias and overly westward location of the Warm Pool edge at the equator in coupled models. Here an index based on the maximum zonal salinity gradient is used to differentiate the Warm Pool from the cold tongue in each of 19 CMIP5 models. Warming is then calculated relative to the dynamic edge of the Warm Pool between the second halves of the 20th and 21st Centuries from the RCP8.5 scenario to provide a bias adjusted SST projection.Based on this definition of the edge, while the Warm Pool edge is projected to warm, it is likely to remain within 10° of its present longitude. This is in stark contrast to the large projected eastward displacements of the isotherms that are usually used to define the edge. Adjusting for the edge, warming within the Warm Pool is projected to be fairly uniform with surface water freshening. Projected warming is enhanced over the cold tongue with the net effect of reducing the zonal SST gradient. In contrast, if the warming is calculated without correcting for the edge of the Warm Pool, the warming signature is dominated by the poorer performing models with an overly westward Warm Pool, resulting in enhanced warming across the equatorial Pacific. Bias adjusting realigns the warming signature and reduces the model spread of projected warming. The biased warming signature also introduces spurious meridional and zonal SST gradients. This will potentially alter the behaviour of the atmospheric convergence zones and the dynamics of ENSO which is influenced by the extent of the Warm Pool and zonal SST gradients. © 2014.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-84924303183
"Sen Gupta A., Brown J.N., Jourdain N.C., van Sebille E., Ganachaud A., Vergés A.","8874929700;24491649400;35208465800;22636301500;6602387463;16048486200;","Episodic and non-uniform shifts of thermal habitats in a warming ocean",2015,"Deep-Sea Research Part II: Topical Studies in Oceanography","113",,,"59","72",,32,"10.1016/j.dsr2.2013.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924296458&doi=10.1016%2fj.dsr2.2013.12.002&partnerID=40&md5=345bc033ae6240926ed84d2c1c50c449","Ocean temperatures have warmed in most regions over the last century and are expected to warm at a faster rate in the future. Consistent with the view that marine species are thermally constrained, there is growing evidence that many marine species have already undergone poleward range shifts in line with warming trends. This study uses historical observations of ocean temperature and climate model projections to examine the movement of isotherms that mark the boundaries for species' thermal habitats. In particular, we compare the rates of isotherm movement between different ocean regions and at different time scales and examine to what extent the implied movement is uniform or sporadic. Widespread long-term warming implies poleward shifts of isotherms in almost all regions. However, as the speed of isotherm movement is inversely related to local meridional SST gradients and the pattern of ocean warming is heterogeneous, speeds vary considerably between regions, season and over time. At present on decadal and longer timescales, changes due to low frequency natural SST variability can dominate over human-induced changes. As such, there are multidecadal periods in certain regions when we would expect to see range shifts that are much faster or in the opposite direction to that implied by a monotonic warming. Based on central estimates from the latest suite of climate model projections, median isotherm speeds will be about seven times faster in the 21st century compared to the 20th century under business as usual emissions. Moreover, SST warming is projected to be greater in summer than in winter in most oceanic regions, contrary to what is projected to occur over land. As such net poleward isotherm speeds, particularly in the northern hemisphere summer, are projected to be considerably faster than in winter. Finally we show that isotherms can exhibit erratic migration rates over time, even under uniform warming. Isotherm movement tends to stall at thermal fronts for extended periods of time and then rapidly shift to a new position, marked by more poleward fronts. This implies that species ranges would also be expected to undergo sudden rapid shifts rather than exhibiting a gradual monotonic poleward march. © 2014 Elsevier Ltd.",Article,"Final","",Scopus,2-s2.0-84924296458
"Rossi V., Sebille E.V., Gupta A.S., Garçon V., England M.H.","35273084700;22636301500;8874929700;6701616786;7101869647;","Corrigendum to ""Multi-decadal projections of surface and interior pathways of the Fukushima cesium-137 radioactive plume"" [Deep-Sea Res. I 80 (2013) 37-46] doi:10.1016/j.dsr.2013.05.015",2014,"Deep-Sea Research Part I: Oceanographic Research Papers","93",,,"162","164",,14,"10.1016/j.dsr.2014.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910083931&doi=10.1016%2fj.dsr.2014.08.007&partnerID=40&md5=ef5ec711040392d33f49402e255aef31",[No abstract available],Erratum,"Final","",Scopus,2-s2.0-84910083931
"Grose M.R., Brown J.N., Narsey S., Brown J.R., Murphy B.F., Langlais C., Gupta A.S., Moise A.F., Irving D.B.","16645237600;24491649400;55975845400;36717393600;14037770000;55854254700;8874929700;35264529800;36634371000;","Assessment of the CMIP5 global climate model simulations of the western tropical Pacific climate system and comparison to CMIP3",2014,"International Journal of Climatology","34","12",,"3382","3399",,69,"10.1002/joc.3916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908555353&doi=10.1002%2fjoc.3916&partnerID=40&md5=e568cc2bc1b290fe14d1d881fa8b4676","A set of 27 global climate models from the Coupled Model Inter-comparison Project Phase 5 (CMIP5) ensemble are assessed for their performance for the purpose of making future climate projection studies in the western tropical Pacific and differences to Coupled Model Inter-comparison Project Phase 3 (CMIP3) are assessed. The CMIP5 models show some improvements upon CMIP3 in the simulation of the climate in the western tropical Pacific in the late 20th century. There are fewer CMIP5 models with very poor skill scores than in CMIP3 for some measures and a small group of the well-performing models in CMIP5 have lower biases than in an equivalent group from CMIP3. These best-performing models could be particularly informative for studying certain climate sensitivities and feedbacks in the region. There is evidence to reject one model as unsuitable for making regional climate projections in the region, and another two models unsuitable for analysis of the South Pacific Convergence Zone (SPCZ). However, while there have been improvements, many of the systematic model biases in the mean climate in CMIP3 are also present in the CMIP5 models. They are primarily related to the shape of the transition between the Indo-Pacific warm pool and equatorial cold tongue, and the associated biases in the position and orientation of the SPCZ and Inter-Tropical Convergence Zone, as well as in the spatial pattern, variability and teleconnections of the West Pacific monsoon, and the simulation of El Niño Southern Oscillation. Overall, the results show that careful interpretation and consideration of biases is required when using CMIP5 outputs for generating regional climate projections for the western tropical Pacific, particularly at the country scale, just as there was with CMIP3. © 2014 Royal Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84908555353
"Maher N., Gupta A.S., England M.H.","56324505100;8874929700;7101869647;","Drivers of decadal hiatus periods in the 20th and 21st centuries",2014,"Geophysical Research Letters","41","16",,"5978","5986",,75,"10.1002/2014GL060527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905999508&doi=10.1002%2f2014GL060527&partnerID=40&md5=bb1211b1aa7b171ce78be081bd97e84b","The latest generation of climate model simulations are used to investigate the occurrence of hiatus periods in global surface air temperature in the past and under two future warming scenarios. Hiatus periods are identified in three categories: (i) those due to volcanic eruptions, (ii) those associated with negative phases of the Interdecadal Pacific Oscillation (IPO), and (iii) those affected by anthropogenically released aerosols in the mid-twentieth century. The likelihood of future hiatus periods is found to be sensitive to the rate of change of anthropogenic forcing. Under high rates of greenhouse gas emissions there is little chance of a hiatus decade occurring beyond 2030, even in the event of a large volcanic eruption. We further demonstrate that most nonvolcanic hiatuses across Coupled Model Intercomparison Project 5 (CMIP5) models are associated with enhanced cooling in the equatorial Pacific linked to the transition to a negative IPO phase. © 2014. American Geophysical Union.",Review,"Final","",Scopus,2-s2.0-84905999508
"Vergés A., Steinberg P.D., Hay M.E., Poore A.G.B., Campbell A.H., Ballesteros E., Heck Jr. K.L., Booth D.J., Coleman M.A., Feary D.A., Figueira W., Langlois T., Marzinelli E.M., Mizerek T., Mumby P.J., Nakamura Y., Roughan M., van Sebille E., Gupta A.S., Smale D.A., Tomas F., Wernberg T., Wilson S.K.","16048486200;7102612386;7102838409;7004236515;25924256800;7006048400;7005708961;7202259879;10243113600;36955314300;6507143797;56258294000;14322068800;37089223300;7003596162;7406392906;6603755030;22636301500;8874929700;55344797900;7006210907;8657683700;7404785614;","The tropicalization of temperate marine ecosystems: Climate-mediated changes in herbivory and community phase shifts",2014,"Proceedings of the Royal Society B: Biological Sciences","281","1789","20140846","","",,625,"10.1098/rspb.2014.0846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903954158&doi=10.1098%2frspb.2014.0846&partnerID=40&md5=1d1ef648c792dc3b6615b514501be5f6","Climate-driven changes in biotic interactions can profoundly alter ecological communities, particularly when they impact foundation species. In marine systems, changes in herbivory and the consequent loss of dominant habitat forming species can result in dramatic community phase shifts, such as from coral to macroalgal dominance when tropical fish herbivory decreases, and from algal forests to 'barrens' when temperate urchin grazing increases. Here, we propose a novel phase-shift away from macroalgal dominance caused by tropical herbivores extending their range into temperate regions. We argue that this phase shift is facilitated by poleward-flowing boundary currents that are creating ocean warming hotspots around the globe, enabling the range expansion of tropical species and increasing their grazing rates in temperate areas. Overgrazing of temperate macroalgae by tropical herbivorous fishes has already occurred in Japan and the Mediterranean. Emerging evidence suggests similar phenomena are occurring in other temperate regions, with increasing occurrence of tropical fishes on temperate reefs. © 2014 The Author(s) Published by the Royal Society. All rights reserved.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84903954158
"Ashok K., Nagaraju C., Gupta A.S., Pai D.S.","57202971809;56125862400;8874929700;8842680800;","Decadal changes in the relationship between the Indian and Australian summer monsoons",2014,"Climate Dynamics","42","3-4",,"1043","1052",,22,"10.1007/s00382-012-1625-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894918263&doi=10.1007%2fs00382-012-1625-4&partnerID=40&md5=a6de9709d654465d0ad094c80e821614","In this study, we investigate a long-term modulation in the relationship between Indian summer monsoon rainfall with the subsequent Australian summer monsoon rainfall. The two monsoon rainfall time series are significantly correlated at 0.3 at the 99 % confidence level. However, the relationship weakens during the 1932-1966 period, with the inter-monsoon correlation for the period falling below statistical significance. We find that this modulation is consistent with a breakdown of the typical El Niño-Southern Oscillation (ENSO) influence on sea surface temperature in the northern region of Australia, during this period. In addition, a change in the relative influences of ENSO and Indian Ocean Basin-wide Warming sea surface temperature anomalies on the Australian summer monsoon rainfall is also apparent across different time periods. © 2012 Springer-Verlag Berlin Heidelberg.",Article,"Final","",Scopus,2-s2.0-84894918263
"Grose M.R., Bhend J., Narsey S., Gupta A.S., Brown J.R.","16645237600;23017743100;55975845400;8874929700;36717393600;","Can we constrain CMIP5 rainfall projections in the tropical Pacific based on surface warming patterns?",2014,"Journal of Climate","27","24",,"9123","9138",,17,"10.1175/JCLI-D-14-00190.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919725777&doi=10.1175%2fJCLI-D-14-00190.1&partnerID=40&md5=0e8aacc376a1fef796950c2198ecfb27","Climate warming has large implications for rainfall patterns, and identifying the most plausible pattern of rainfall change over the next century among various model projections would be valuable for future planning. The spatial pattern of projected sea surface temperature change has a key influence on rainfall changes in the tropical Pacific Ocean. Here it is shown that simple indices of the size of the equatorial peak in the spatial pattern of warming and to a lesser extent the hemispheric asymmetry in warming are useful for classifying the surface temperature change in different models from phase 5 of the Coupled Model Intercomparison Project (CMIP5). Models with a more pronounced equatorial warming show a fairly distinct rainfall response compared to those with more uniform warming, including a greater ""warmer-get-wetter"" or dynamical response, whereby rainfall increases follow the surface warming anomaly. Models with a more uniform warming pattern project a smaller rainfall increase at the equator and a rainfall increase in the southern tropical Pacific, a pattern that is distinct from the multimodel mean of CMIP5. Thus, the magnitude of enhanced equatorial warming and to some extent the hemispheric asymmetry in warming provides a useful framework for constraining rainfall projections. While there is not a simple emergent constraint for enhanced equatorial warming in models in terms of past trends or bias in the current climate, further understanding of the various feedbacks involved in these features could lead to a useful constraint of rainfall for the Pacific region. © 2014 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84919725777
"Van Sebille E., Sprintall J., Schwarzkopf F.U., Sen Gupta A., Santoso A., England M.H., Biastoch A., Böning C.W.","22636301500;6602699832;26533378500;8874929700;36841957400;7101869647;55907056900;6603406415;","Pacific-to-Indian Ocean connectivity: Tasman leakage, Indonesian Throughflow, and the role of ENSO",2014,"Journal of Geophysical Research: Oceans","119","2",,"1365","1382",,80,"10.1002/2013JC009525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900365363&doi=10.1002%2f2013JC009525&partnerID=40&md5=955f94b6040d96f4d5a1036791a02638","The upper ocean circulation of the Pacific and Indian Oceans is connected through both the Indonesian Throughflow north of Australia and the Tasman leakage around its south. The relative importance of these two pathways is examined using virtual Lagrangian particles in a high-resolution nested ocean model. The unprecedented combination of a long integration time within an eddy-permitting ocean model simulation allows the first assessment of the interannual variability of these pathways in a realistic setting. The mean Indonesian Throughflow, as diagnosed by the particles, is 14.3 Sv, considerably higher than the diagnosed average Tasman leakage of 4.2 Sv. The time series of Indonesian Throughflow agrees well with the Eulerian transport through the major Indonesian Passages, validating the Lagrangian approach using transport-tagged particles. While the Indonesian Throughflow is mainly associated with upper ocean pathways, the Tasman leakage is concentrated in the 400-900 m depth range at subtropical latitudes. Over the effective period considered (1968-1994), no apparent relationship is found between the Tasman leakage and Indonesian Throughflow. However, the Indonesian Throughflow transport correlates with ENSO. During strong La Niñas, more water of Southern Hemisphere origin flows through Makassar, Moluccas, Ombai, and Timor Straits, but less through Moluccas Strait. In general, each strait responds differently to ENSO, highlighting the complex nature of the ENSO-ITF interaction. Key Points Pacific and Indian Oceans are connected through ITF and Tasman leakage Both pathways are important for global circulation but are not correlated A Lagrangian analysis of pathways finds effect of ENSO in Archipelago © 2014. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84900365363
"Taschetto A.S., Gupta A.S., Jourdain N.C., Santoso A., Ummenhofer C.C., England M.H.","23104422600;8874929700;35208465800;36841957400;14020798200;7101869647;","Cold tongue and warm pool ENSO Events in CMIP5: Mean state and future projections",2014,"Journal of Climate","27","8",,"2861","2885",,136,"10.1175/JCLI-D-13-00437.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898036185&doi=10.1175%2fJCLI-D-13-00437.1&partnerID=40&md5=1230a3b4cd8cc3338b25f7fdbad61a16","The representation of the El Niño-Southern Oscillation (ENSO) under historical forcing and future projections is analyzed in 34 models from the Coupled Model Intercomparison Project phase 5 (CMIP5). Most models realistically simulate the observed intensity and location of maximum sea surface temperature (SST) anomalies during ENSO events. However, there exist systematic biases in the westward extent of ENSOrelated SST anomalies, driven by unrealistic westward displacement and enhancement of the equatorial wind stress in the western Pacific. Almost all CMIP5 models capture the observed asymmetry in magnitude between the warm and cold events (i.e., El Niños are stronger than La Niñas) and between the two types of El Niños: that is, cold tongue (CT) El Niños are stronger than warm pool (WP) El Niños. However, most models fail to reproduce the asymmetry between the two types of La Niñas, with CT stronger thanWPevents, which is opposite to observations. Most models capture the observed peak in ENSO amplitude around December; however, the seasonal evolution of ENSO has a large range of behavior across the models. The CMIP5 models generally reproduce the duration of CT El Niños but have biases in the evolution of the other types of events. The evolution of WP El Niños suggests that the decay of this event occurs through heat content discharge in the models rather than the advection of SST via anomalous zonal currents, as seems to occur in observations. No consistent changes are seen across the models in the location and magnitude of maximum SST anomalies, frequency, or temporal evolution of these events in a warmer world. © 2014 American Meteorological Society.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84898036185
"England M.H., Mcgregor S., Spence P., Meehl G.A., Timmermann A., Cai W., Gupta A.S., Mcphaden M.J., Purich A., Santoso A.","7101869647;8266754800;29967537000;7006518289;57203199846;7401711350;8874929700;7005562402;55247561000;36841957400;","Recent intensification of wind-driven circulation in the Pacific and the ongoing warming hiatus",2014,"Nature Climate Change","4","3",,"222","227",,1028,"10.1038/nclimate2106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895429353&doi=10.1038%2fnclimate2106&partnerID=40&md5=65ca0ec8ce30af3c71be9a68ce4d5275","Despite ongoing increases in atmospheric greenhouse gases, the Earth's global average surface air temperature has remained more or less steady since 2001. A variety of mechanisms have been proposed to account for this slowdown in surface warming. A key component of the global hiatus that has been identified is cool eastern Pacific sea surface temperature, but it is unclear how the ocean has remained relatively cool there in spite of ongoing increases in radiative forcing. Here we show that a pronounced strengthening in Pacific trade winds over the past two decades - unprecedented in observations/reanalysis data and not captured by climate models - is sufficient to account for the cooling of the tropical Pacific and a substantial slowdown in surface warming through increased subsurface ocean heat uptake. The extra uptake has come about through increased subduction in the Pacific shallow overturning cells, enhancing heat convergence in the equatorial thermocline. At the same time, the accelerated trade winds have increased equatorial upwelling in the central and eastern Pacific, lowering sea surface temperature there, which drives further cooling in other regions. The net effect of these anomalous winds is a cooling in the 2012 global average surface air temperature of 0.1-0.2C, which can account for much of the hiatus in surface warming observed since 2001. This hiatus could persist for much of the present decade if the trade wind trends continue, however rapid warming is expected to resume once the anomalous wind trends abate. © 2014 Macmillan Publishers Limited.",Article,"Final","",Scopus,2-s2.0-84895429353
"Qin X., van Sebille E., Sen Gupta A.","56044864700;22636301500;8874929700;","Quantification of errors induced by temporal resolution on Lagrangian particles in an eddy-resolving model",2014,"Ocean Modelling","76",,,"20","30",,37,"10.1016/j.ocemod.2014.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894495441&doi=10.1016%2fj.ocemod.2014.02.002&partnerID=40&md5=49e28bf4ea48eaf8f284ff1511bfc5f2","Lagrangian particle tracking within ocean models is an important tool for the examination of ocean circulation, ventilation timescales and connectivity and is increasingly being used to understand ocean biogeochemistry. Lagrangian trajectories are obtained by advecting particles within velocity fields derived from hydrodynamic ocean models. For studies of ocean flows on scales ranging from mesoscale up to basin scales, the temporal resolution of the velocity fields should ideally not be more than a few days to capture the high frequency variability that is inherent in mesoscale features. However, in reality, the model output is often archived at much lower temporal resolutions. Here, we quantify the differences in the Lagrangian particle trajectories embedded in velocity fields of varying temporal resolution. Particles are advected from 3-day to 30-day averaged fields in a high-resolution global ocean circulation model. We also investigate whether adding lateral diffusion to the particle movement can compensate for the reduced temporal resolution.Trajectory errors reveal the expected degradation of accuracy in the trajectory positions when decreasing the temporal resolution of the velocity field. Divergence timescales associated with averaging velocity fields up to 30. days are faster than the intrinsic dispersion of the velocity fields but slower than the dispersion caused by the interannual variability of the velocity fields. In experiments focusing on the connectivity along major currents, including western boundary currents, the volume transport carried between two strategically placed sections tends to increase with increased temporal averaging. Simultaneously, the average travel times tend to decrease. Based on these two bulk measured diagnostics, Lagrangian experiments that use temporal averaging of up to nine days show no significant degradation in the flow characteristics for a set of six currents investigated in more detail. The addition of random-walk-style diffusion does not mitigate the errors introduced by temporal averaging for large-scale open ocean Lagrangian simulations. © 2014 Elsevier Ltd.",Article,"Final","",Scopus,2-s2.0-84894495441
"Brown J.N., Brown J.R., Langlais C., Colman R., Risbey J.S., Murphy B.F., Moise A., Gupta A.S., Smith I., Wilson L., Narsey S., Grose M., Wheeler M.C.","24491649400;36717393600;55854254700;57212781009;6701799761;14037770000;35264529800;8874929700;56304464500;24176026200;55975845400;16645237600;7403128993;","Exploring qualitative regional climate projections: A case study for Nauru",2013,"Climate Research","58","2",,"165","182",,10,"10.3354/cr01190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890508342&doi=10.3354%2fcr01190&partnerID=40&md5=2b819e8aa760ced278187ce0e1679248","Coupled General Circulation Models simulate broad-scale climate patterns and are standard tools for understanding potential changes to the climate system. Climate change projection information is required at the local scale for adaptation planning. Model skill can be limited at this scale due to model biases and uncertainties. Pacific Islands are one such example, particularly Nauru which lies at the intersection of the South Pacific Convergence Zone (SPCZ), the Western Pacific Monsoon, the oceanic warm pool and the ENSO zone of influence. In light of such constraints, a qualitative climate projection approach is presented whereby projections are based on expected changes to the broad-scale climate features, drawing on a review of current literature and new research. Nauru sits in the region subject to seasonal and interannual migrations of the SPCZ. Climate models simulate an overly zonal SPCZ with Nauru lying too close to the dry cold tongue zone. This sets an erroneous base state for Nauru by locating it in a very different climate zone. The climate model changes in the SPCZ can be used to argue how the climate of Nauru would change were it and the SPCZ correctly collocated. Similar approaches are applied to the set of climate features influencing Nauru to generate modified climate projections. © Inter-Research 2013.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84890508342
